,time,open,high,low,close,volume
0,20260320  01:15:00,23232.0,23279.0,23230.0,23275.0,-1
1,20260320  01:18:00,23275.0,23280.0,23248.0,23248.0,-1
2,20260320  01:21:00,23248.0,23248.0,23222.0,23228.0,-1
3,20260320  01:24:00,23228.0,23240.0,23219.0,23236.0,-1
4,20260320  01:27:00,23236.0,23236.0,23222.0,23229.0,-1
5,20260320  01:30:00,23229.0,23233.0,23215.0,23216.0,-1
6,20260320  01:33:00,23216.0,23221.0,23211.0,23216.0,-1
7,20260320  01:36:00,23216.0,23218.0,23212.0,23218.0,-1
8,20260320  01:39:00,23218.0,23240.0,23218.0,23230.0,-1
9,20260320  01:42:00,23230.0,23231.0,23221.0,23225.0,-1
10,20260320  01:45:00,23225.0,23230.0,23223.0,23224.0,-1
11,20260320  01:48:00,23224.0,23227.0,23219.0,23227.0,-1
12,20260320  01:51:00,23227.0,23227.0,23218.0,23224.0,-1
13,20260320  01:54:00,23224.0,23226.0,23218.0,23219.0,-1
14,20260320  01:57:00,23219.0,23222.0,23216.0,23222.0,-1
15,20260320  02:00:00,23222.0,23234.0,23215.0,23229.0,-1
16,20260320  02:03:00,23229.0,23242.0,23221.0,23241.0,-1
17,20260320  02:06:00,23241.0,23247.0,23229.0,23238.0,-1
18,20260320  02:09:00,23238.0,23240.0,23229.0,23235.0,-1
19,20260320  02:12:00,23235.0,23252.0,23230.0,23247.0,-1
20,20260320  02:15:00,23247.0,23251.0,23236.0,23237.0,-1
21,20260320  02:18:00,23237.0,23243.0,23234.0,23236.0,-1
22,20260320  02:21:00,23236.0,23239.0,23222.0,23235.0,-1
23,20260320  02:24:00,23235.0,23242.0,23235.0,23237.0,-1
24,20260320  02:27:00,23237.0,23252.0,23236.0,23252.0,-1
25,20260320  02:30:00,23252.0,23265.0,23252.0,23264.0,-1
26,20260320  02:33:00,23264.0,23271.0,23260.0,23264.0,-1
27,20260320  02:36:00,23264.0,23277.0,23264.0,23274.0,-1
28,20260320  02:39:00,23274.0,23284.0,23273.0,23282.0,-1
29,20260320  02:42:00,23282.0,23282.0,23272.0,23280.0,-1
30,20260320  02:45:00,23280.0,23295.0,23280.0,23282.0,-1
31,20260320  02:48:00,23282.0,23287.0,23270.0,23270.0,-1
32,20260320  02:51:00,23270.0,23274.0,23269.0,23273.0,-1
33,20260320  02:54:00,23273.0,23273.0,23250.0,23250.0,-1
34,20260320  02:57:00,23250.0,23256.0,23241.0,23256.0,-1
35,20260320  03:00:00,23256.0,23261.0,23244.0,23250.0,-1
36,20260320  03:03:00,23250.0,23250.0,23239.0,23247.0,-1
37,20260320  03:06:00,23247.0,23257.0,23247.0,23257.0,-1
38,20260320  03:09:00,23257.0,23257.0,23251.0,23253.0,-1
39,20260320  03:12:00,23253.0,23253.0,23248.0,23251.0,-1
40,20260320  03:15:00,23251.0,23253.0,23244.0,23253.0,-1
41,20260320  03:18:00,23253.0,23258.0,23251.0,23254.0,-1
42,20260320  03:21:00,23254.0,23255.0,23247.0,23248.0,-1
43,20260320  03:24:00,23248.0,23248.0,23239.0,23241.0,-1
