,time,open,high,low,close,volume
0,20260211  01:15:00,25478.0,26569.0,25477.0,25486.0,-1
1,20260211  01:18:00,25486.0,25489.0,25484.0,25487.0,-1
2,20260211  01:21:00,25487.0,25487.0,25484.0,25486.0,-1
3,20260211  01:24:00,25486.0,25488.0,25485.0,25487.0,-1
4,20260211  01:27:00,25487.0,25488.0,25485.0,25486.0,-1
5,20260211  01:30:00,25486.0,25487.0,25485.0,25487.0,-1
6,20260211  01:33:00,25487.0,25489.0,25486.0,25487.0,-1
7,20260211  01:36:00,25487.0,25489.0,25487.0,25489.0,-1
8,20260211  01:39:00,25489.0,25489.0,25487.0,25488.0,-1
9,20260211  01:42:00,25488.0,25489.0,25487.0,25488.0,-1
10,20260211  01:45:00,25488.0,25488.0,25486.0,25488.0,-1
11,20260211  01:48:00,25488.0,25488.0,25486.0,25486.0,-1
12,20260211  01:51:00,25486.0,25489.0,25486.0,25487.0,-1
13,20260211  01:54:00,25487.0,25487.0,25487.0,25487.0,-1
14,20260211  01:57:00,25487.0,25487.0,25486.0,25486.0,-1
15,20260211  02:00:00,25486.0,25486.0,25483.0,25485.0,-1
16,20260211  02:03:00,25485.0,25487.0,25484.0,25485.0,-1
17,20260211  02:06:00,25485.0,25486.0,25484.0,25485.0,-1
18,20260211  02:09:00,25485.0,25485.0,25483.0,25484.0,-1
19,20260211  02:12:00,25484.0,25484.0,25484.0,25484.0,-1
20,20260211  02:15:00,25484.0,25484.0,25482.0,25484.0,-1
21,20260211  02:18:00,25484.0,25484.0,25479.0,25479.0,-1
22,20260211  02:21:00,25479.0,25479.0,25478.0,25478.0,-1
23,20260211  02:24:00,25478.0,25478.0,25473.0,25477.0,-1
24,20260211  02:27:00,25477.0,25477.0,25474.0,25476.0,-1
25,20260211  02:30:00,25476.0,25477.0,25475.0,25477.0,-1
26,20260211  02:33:00,25477.0,25479.0,25476.0,25479.0,-1
27,20260211  02:36:00,25479.0,25479.0,25479.0,25479.0,-1
28,20260211  02:39:00,25479.0,25480.0,25479.0,25480.0,-1
29,20260211  02:42:00,25480.0,25482.0,25479.0,25480.0,-1
30,20260211  02:45:00,25480.0,25485.0,25480.0,25485.0,-1
31,20260211  02:48:00,25485.0,25485.0,25485.0,25485.0,-1
32,20260211  02:51:00,25485.0,25485.0,25485.0,25485.0,-1
33,20260211  02:54:00,25485.0,25485.0,25485.0,25485.0,-1
34,20260211  02:57:00,25485.0,25485.0,25478.0,25479.0,-1
35,20260211  03:00:00,25479.0,25482.0,25478.0,25480.0,-1
36,20260211  03:03:00,25480.0,25480.0,25479.0,25480.0,-1
37,20260211  03:06:00,25480.0,25480.0,25480.0,25480.0,-1
38,20260211  03:09:00,25480.0,25480.0,25480.0,25480.0,-1
39,20260211  03:12:00,25478.0,26568.0,25478.0,25478.0,-1
40,20260211  03:15:00,25478.0,25479.0,25478.0,25479.0,-1
41,20260211  03:18:00,25479.0,25479.0,25478.0,25478.0,-1
42,20260211  03:21:00,25478.0,25485.0,25476.0,25485.0,-1
43,20260211  03:24:00,25485.0,25485.0,25483.0,25483.0,-1
44,20260211  03:27:00,25483.0,25483.0,25483.0,25483.0,-1
45,20260211  03:30:00,25483.0,25485.0,25483.0,25485.0,-1
46,20260211  03:33:00,25485.0,25485.0,25485.0,25485.0,-1
47,20260211  03:36:00,25485.0,25485.0,25485.0,25485.0,-1
48,20260211  03:39:00,25485.0,25485.0,25485.0,25485.0,-1
49,20260211  03:42:00,25485.0,25485.0,25485.0,25485.0,-1
50,20260211  03:45:00,25485.0,25485.0,25483.0,25483.0,-1
51,20260211  03:48:00,25483.0,25484.0,25482.0,25483.0,-1
52,20260211  03:51:00,25483.0,25484.0,25482.0,25483.0,-1
53,20260211  03:54:00,25483.0,25484.0,25482.0,25484.0,-1
54,20260211  03:57:00,25484.0,25484.0,25482.0,25483.0,-1
55,20260211  04:00:00,25483.0,25484.0,25482.0,25484.0,-1
56,20260211  04:03:00,25484.0,25484.0,25484.0,25484.0,-1
57,20260211  04:06:00,25484.0,25484.0,25481.0,25482.0,-1
58,20260211  04:09:00,25482.0,25483.0,25481.0,25483.0,-1
59,20260211  04:12:00,25483.0,25483.0,25483.0,25483.0,-1
60,20260211  04:15:00,25483.0,25483.0,25483.0,25483.0,-1
61,20260211  04:18:00,25483.0,25483.0,25476.0,25477.0,-1
62,20260211  04:21:00,25477.0,25478.0,25476.0,25478.0,-1
63,20260211  04:24:00,25478.0,25482.0,25478.0,25482.0,-1
64,20260211  04:27:00,25482.0,25483.0,25480.0,25483.0,-1
65,20260211  04:30:00,25483.0,25483.0,25481.0,25482.0,-1
66,20260211  04:33:00,25482.0,25482.0,25482.0,25482.0,-1
67,20260211  04:36:00,25482.0,25482.0,25480.0,25482.0,-1
68,20260211  04:39:00,25482.0,25485.0,25481.0,25483.0,-1
69,20260211  04:42:00,25483.0,25483.0,25483.0,25483.0,-1
70,20260211  04:45:00,25483.0,25485.0,25483.0,25485.0,-1
71,20260211  04:48:00,25485.0,25485.0,25485.0,25485.0,-1
72,20260211  04:51:00,25485.0,25485.0,25485.0,25485.0,-1
73,20260211  04:54:00,25485.0,25486.0,25484.0,25486.0,-1
74,20260211  04:57:00,25486.0,25486.0,25486.0,25486.0,-1
75,20260211  05:00:00,25486.0,25486.0,25379.0,25380.0,-1
76,20260211  05:03:00,25380.0,25380.0,25379.0,25380.0,-1
77,20260211  05:06:00,25380.0,25380.0,25380.0,25380.0,-1
78,20260211  05:09:00,25380.0,25381.0,25380.0,25381.0,-1
79,20260211  05:12:00,25381.0,25381.0,25379.0,25380.0,-1
80,20260211  05:15:00,25380.0,25380.0,25376.0,25376.0,-1
81,20260211  05:18:00,25376.0,25377.0,25376.0,25377.0,-1
82,20260211  05:21:00,25377.0,25377.0,25377.0,25377.0,-1
83,20260211  05:24:00,25377.0,25377.0,25377.0,25377.0,-1
84,20260211  05:27:00,25377.0,25377.0,25376.0,25376.0,-1
85,20260211  05:30:00,25376.0,25376.0,25366.0,25367.0,-1
86,20260211  05:33:00,25367.0,25367.0,25367.0,25367.0,-1
87,20260211  05:36:00,25367.0,25368.0,25367.0,25368.0,-1
88,20260211  05:39:00,25368.0,25368.0,25364.0,25366.0,-1
89,20260211  05:42:00,25366.0,25367.0,25365.0,25367.0,-1
90,20260211  05:45:00,25367.0,25367.0,25367.0,25367.0,-1
91,20260211  05:48:00,25367.0,25367.0,25367.0,25367.0,-1
92,20260211  05:51:00,25367.0,25367.0,25367.0,25367.0,-1
93,20260211  05:54:00,25367.0,25367.0,25367.0,25367.0,-1
94,20260211  05:57:00,25367.0,25367.0,25367.0,25367.0,-1
95,20260211  06:00:00,25367.0,25367.0,25367.0,25367.0,-1
96,20260211  06:03:00,25367.0,25367.0,25367.0,25367.0,-1
97,20260211  06:06:00,25367.0,25367.0,25367.0,25367.0,-1
98,20260211  06:09:00,25367.0,25367.0,25367.0,25367.0,-1
99,20260211  06:12:00,25367.0,25367.0,25367.0,25367.0,-1
100,20260211  06:15:00,25367.0,25367.0,25367.0,25367.0,-1
101,20260211  06:18:00,25367.0,25367.0,25367.0,25367.0,-1
102,20260211  06:21:00,25367.0,25367.0,25367.0,25367.0,-1
103,20260211  06:24:00,25367.0,25367.0,25367.0,25367.0,-1
104,20260211  06:27:00,25367.0,25367.0,25367.0,25367.0,-1
105,20260211  06:30:00,25367.0,25367.0,25367.0,25367.0,-1
106,20260211  06:33:00,25367.0,25367.0,25367.0,25367.0,-1
107,20260211  06:36:00,25367.0,25367.0,25367.0,25367.0,-1
108,20260211  06:39:00,25367.0,25367.0,25367.0,25367.0,-1
109,20260211  06:42:00,25367.0,25367.0,25367.0,25367.0,-1
110,20260211  06:45:00,25367.0,25367.0,25367.0,25367.0,-1
111,20260211  06:48:00,25367.0,25367.0,25367.0,25367.0,-1
112,20260211  06:51:00,25367.0,25367.0,25367.0,25367.0,-1
113,20260211  06:54:00,25367.0,25367.0,25367.0,25367.0,-1
114,20260211  06:57:00,25367.0,25367.0,25367.0,25367.0,-1
115,20260211  07:00:00,25367.0,25367.0,25367.0,25367.0,-1
116,20260211  07:03:00,25367.0,25367.0,25367.0,25367.0,-1
117,20260211  07:06:00,25367.0,25367.0,25367.0,25367.0,-1
118,20260211  07:09:00,25367.0,25367.0,25367.0,25367.0,-1
119,20260211  07:12:00,25367.0,25367.0,25367.0,25367.0,-1
120,20260211  07:15:00,25367.0,25367.0,25367.0,25367.0,-1
121,20260211  07:18:00,25367.0,25367.0,25367.0,25367.0,-1
122,20260211  07:21:00,25367.0,25367.0,25367.0,25367.0,-1
123,20260211  07:24:00,25367.0,25367.0,25367.0,25367.0,-1
124,20260211  07:27:00,25367.0,25367.0,25367.0,25367.0,-1
125,20260211  07:30:00,25367.0,25367.0,25367.0,25367.0,-1
126,20260211  07:33:00,25367.0,25367.0,25367.0,25367.0,-1
127,20260211  07:36:00,25367.0,25367.0,25367.0,25367.0,-1
128,20260211  07:39:00,25367.0,25367.0,25367.0,25367.0,-1
129,20260211  07:42:00,25367.0,25367.0,25367.0,25367.0,-1
130,20260211  07:45:00,25367.0,25367.0,25367.0,25367.0,-1
131,20260211  07:48:00,25367.0,25367.0,25367.0,25367.0,-1
132,20260211  07:51:00,25367.0,25367.0,25367.0,25367.0,-1
133,20260211  07:54:00,25367.0,25367.0,25317.0,25329.0,-1
134,20260211  07:57:00,25329.0,25331.0,25328.0,25331.0,-1
135,20260211  08:00:00,25331.0,25335.0,25169.0,25328.0,-1
136,20260211  08:03:00,25328.0,25328.0,25324.0,25326.0,-1
137,20260211  08:06:00,25326.0,25326.0,25325.0,25326.0,-1
138,20260211  08:09:00,25326.0,25326.0,25318.0,25319.0,-1
139,20260211  08:12:00,25319.0,25319.0,25313.0,25313.0,-1
140,20260211  08:15:00,25313.0,25314.0,25313.0,25314.0,-1
141,20260211  08:18:00,25314.0,25316.0,25314.0,25316.0,-1
142,20260211  08:21:00,25316.0,25316.0,25316.0,25316.0,-1
143,20260211  08:24:00,25316.0,25316.0,25316.0,25316.0,-1
144,20260211  08:27:00,25316.0,25316.0,25316.0,25316.0,-1
