,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
301,20260211  16:18:00,25233.0,25233.0,25218.0,25218.0,-1,25242.33358677879,25254.080885656913,25327.826441713616,25180.33532960021,-12.414100293972432,-0.0035465649259039584,0.0036185547223065843,-61.971830985915496,,25233.0,,301.0,299.0,-1.0,25233.0,25232.0,-61.971830985915496,-54.929577464788736,DOWN,,,,,265.0,264.0,1,25350.0,25137.0,25218.0,25350.0,213.0,,,25115.7,25350.0,102.29999999999927,132.0,0.40566262193670904,0.5234356412086605,True,False,SHORT,101.0,98.0
543,20260212  07:33:00,25447.0,25447.0,25440.0,25440.0,-1,25446.641343794578,25370.449216229692,25519.806556884218,25221.091875575166,29.01699560970022,0.0011916690150556223,-0.0009619466540009411,-95.8828911253431,,,,542.0,540.0,-1.0,25456.0,25447.0,-95.24245196706313,-94.69350411710887,DOWN,,,,,508.0,374.0,1,26488.0,25120.0,25396.0,26488.0,1368.0,,,24983.2,26488.0,456.7999999999993,1048.0,1.7955974842767268,4.119496855345912,True,False,SHORT,7.0,174.0
728,20260212  16:48:00,25406.0,25407.0,25401.0,25401.0,-1,25415.471511922246,25449.046140187143,25572.27890935156,25325.813371022727,17.683491394345392,-0.026702292185625223,-0.0010494504917671413,-68.2051282051282,,25407.0,,728.0,726.0,-1.0,25407.0,25405.0,-68.2051282051282,-65.64102564102564,DOWN,,,,,703.0,562.0,1,25534.0,25266.0,25339.0,25534.0,268.0,,,25239.2,25534.0,161.79999999999927,133.0,0.6369827959529123,0.5236014330144483,True,False,SHORT,27.0,275.0
942,20260213  06:39:00,25342.0,25342.0,25333.0,25335.0,-1,25351.098851602957,25359.94532355933,25497.69063681475,25222.200010303906,4.502371282696306,-0.034911861993648964,-0.006942077445347396,-96.92307692307692,-84.28362573099415,,,941.0,938.0,-1.0,25357.0,25343.0,-98.24561403508773,-85.71428571428571,DOWN,,,,,879.0,761.0,1,25402.0,25126.0,25333.0,25402.0,276.0,,,25098.4,25402.0,236.59999999999854,67.0,0.9338859285573261,0.264456285770673,True,False,SHORT,7.0,294.0
1189,20260213  19:00:00,25352.0,25353.0,25344.0,25345.0,-1,25400.57940171158,25249.103945790175,25443.83987819146,25054.368013388892,17.379782424086834,0.04987044095508327,-0.0203615876165874,-97.58281110116383,-78.99101589495508,,,1188.0,1187.0,-1.0,26435.0,25348.0,-96.95613249776186,-41.1764705882353,DOWN,,,,,1188.0,1098.0,1,26435.0,25080.0,25344.0,26435.0,1355.0,,,24944.5,26435.0,400.5,1090.0,1.5801933320181496,4.300651015979483,True,False,SHORT,919.0,389.0
1884,20260217  12:03:00,25122.0,25122.0,25115.0,25116.0,-1,25124.005546306606,25062.709341894246,25194.199785666824,24931.218898121668,6.315427904327502,0.040134943047643375,-0.005969239452154801,-81.18811881188118,-89.18187964841108,,,1883.0,1880.0,-1.0,25126.0,25121.0,-48.717948717948715,-47.20496894409938,DOWN,,,,,1843.0,1755.0,1,25199.0,24956.0,25038.0,25199.0,243.0,,,24931.7,25199.0,184.29999999999927,83.0,0.7337951903169265,0.3304666348144609,True,False,SHORT,207.0,64.0
2142,20260218  04:06:00,25145.0,25145.0,25138.0,25139.0,-1,25144.089521266873,25155.87063351734,25247.534277384126,25064.206989650556,6.136343688711707,-0.024468188246154255,-0.0019218211241414304,-94.11764705882354,-87.22067039106145,,,2141.0,2140.0,-1.0,25147.0,25144.0,-76.92307692307692,-76.92307692307692,DOWN,,,,,2085.0,1981.0,1,26388.0,25052.0,25135.0,26388.0,1336.0,,,24918.4,26388.0,220.59999999999854,1249.0,0.8775209833326646,4.96837583038307,True,False,SHORT,535.0,11.0
2411,20260218  17:33:00,25550.0,25550.0,25529.0,25532.0,-1,25555.241782704292,25456.828722201753,25585.334040049605,25328.3234043539,38.175082508927666,-0.0003211969109215458,-0.0012633440580106167,-53.80835380835381,-59.77653631284916,,,2402.0,2396.0,-1.0,25751.0,25537.0,-29.26829268292683,-27.61904761904762,DOWN,,,,,2402.0,2364.0,1,25751.0,25177.0,25529.0,25751.0,574.0,,,25119.6,25751.0,412.40000000000146,219.0,1.6152279492401749,0.8577471408428637,True,False,SHORT,31.0,164.0
2655,20260219  08:54:00,25480.0,25480.0,25474.0,25475.0,-1,25478.7075635006,25423.432670558665,25488.913367398894,25357.951973718435,1.4999513347797624,0.27145981331220587,-0.06807414829767594,-62.03007518796993,-68.33832335329342,25480.0,,2655.0,2653.0,-1.0,25480.0,25479.0,-62.03007518796993,-58.8235294117647,DOWN,,,,,2637.0,2614.0,1,25640.0,25368.0,25474.0,25640.0,272.0,,,25340.8,25640.0,134.20000000000073,165.0,0.5267909715407291,0.6476938174681061,True,False,SHORT,158.0,205.0
2787,20260219  15:30:00,25310.0,25310.0,25303.0,25306.0,-1,25311.917720913156,25357.054419275766,25490.830355411388,25223.278483140144,-15.80928407496201,0.0034534845085525926,0.0008972037749569511,-50.68493150684932,-83.81099922540666,,,2786.0,2784.0,-1.0,25316.0,25313.0,-45.205479452054796,-38.35616438356164,DOWN,,,,,2637.0,2614.0,1,25640.0,25368.0,25270.0,25640.0,272.0,,,25340.8,25640.0,-34.79999999999927,334.0,-0.13751679443609924,1.3198450960246582,True,False,SHORT,34.0,58.0
