,time,open,high,low,close,volume
0,20260504  02:15:00,24491.0,24496.0,24431.0,24433.0,-1
1,20260504  02:18:00,24433.0,24438.0,24415.0,24416.0,-1
2,20260504  02:21:00,24416.0,24416.0,24398.0,24402.0,-1
3,20260504  02:24:00,24402.0,24411.0,24392.0,24394.0,-1
4,20260504  02:27:00,24394.0,24408.0,24393.0,24404.0,-1
5,20260504  02:30:00,24404.0,24420.0,24402.0,24409.0,-1
6,20260504  02:33:00,24409.0,24411.0,24404.0,24408.0,-1
7,20260504  02:36:00,24408.0,24408.0,24397.0,24399.0,-1
8,20260504  02:39:00,24399.0,24403.0,24396.0,24403.0,-1
9,20260504  02:42:00,24403.0,24409.0,24401.0,24404.0,-1
10,20260504  02:45:00,24404.0,24415.0,24403.0,24412.0,-1
11,20260504  02:48:00,24412.0,24423.0,24411.0,24423.0,-1
12,20260504  02:51:00,24423.0,24423.0,24416.0,24420.0,-1
13,20260504  02:54:00,24420.0,24436.0,24414.0,24430.0,-1
14,20260504  02:57:00,24430.0,24434.0,24424.0,24429.0,-1
15,20260504  03:00:00,24429.0,24433.0,24422.0,24423.0,-1
16,20260504  03:03:00,24423.0,24423.0,24410.0,24415.0,-1
17,20260504  03:06:00,24415.0,24415.0,24398.0,24399.0,-1
18,20260504  03:09:00,24399.0,24407.0,24397.0,24405.0,-1
19,20260504  03:12:00,24405.0,24418.0,24403.0,24416.0,-1
20,20260504  03:15:00,24416.0,24431.0,24415.0,24424.0,-1
21,20260504  03:18:00,24424.0,24427.0,24411.0,24412.0,-1
22,20260504  03:21:00,24412.0,24422.0,24410.0,24418.0,-1
23,20260504  03:24:00,24418.0,24419.0,24405.0,24410.0,-1
24,20260504  03:27:00,24410.0,24415.0,24408.0,24412.0,-1
25,20260504  03:30:00,24412.0,24431.0,24407.0,24429.0,-1
26,20260504  03:33:00,24429.0,24437.0,24422.0,24435.0,-1
27,20260504  03:36:00,24435.0,24443.0,24434.0,24438.0,-1
28,20260504  03:39:00,24438.0,24446.0,24436.0,24442.0,-1
29,20260504  03:42:00,24442.0,24443.0,24434.0,24437.0,-1
30,20260504  03:45:00,24437.0,24439.0,24430.0,24434.0,-1
31,20260504  03:48:00,24434.0,24438.0,24432.0,24436.0,-1
32,20260504  03:51:00,24436.0,24443.0,24435.0,24440.0,-1
33,20260504  03:54:00,24440.0,24445.0,24436.0,24439.0,-1
34,20260504  03:57:00,24439.0,24446.0,24439.0,24446.0,-1
35,20260504  04:00:00,24446.0,24449.0,24438.0,24439.0,-1
36,20260504  04:03:00,24439.0,24441.0,24435.0,24436.0,-1
37,20260504  04:06:00,24436.0,24440.0,24430.0,24432.0,-1
38,20260504  04:09:00,24432.0,24437.0,24428.0,24432.0,-1
39,20260504  04:12:00,24432.0,24445.0,24432.0,24443.0,-1
40,20260504  04:15:00,24443.0,24445.0,24428.0,24433.0,-1
41,20260504  04:18:00,24433.0,24442.0,24430.0,24439.0,-1
42,20260504  04:21:00,24439.0,24441.0,24430.0,24431.0,-1
43,20260504  04:24:00,24431.0,24432.0,24421.0,24429.0,-1
44,20260504  04:27:00,24429.0,24429.0,24420.0,24424.0,-1
45,20260504  04:30:00,24424.0,24431.0,24421.0,24430.0,-1
46,20260504  04:33:00,24430.0,24438.0,24430.0,24437.0,-1
47,20260504  04:36:00,24437.0,24441.0,24432.0,24440.0,-1
48,20260504  04:39:00,24440.0,24446.0,24439.0,24445.0,-1
49,20260504  04:42:00,24445.0,24448.0,24444.0,24445.0,-1
50,20260504  04:45:00,24445.0,24449.0,24442.0,24446.0,-1
51,20260504  04:48:00,24446.0,24448.0,24446.0,24447.0,-1
52,20260504  04:51:00,24447.0,24459.0,24446.0,24457.0,-1
53,20260504  04:54:00,24457.0,24463.0,24455.0,24460.0,-1
54,20260504  04:57:00,24460.0,24461.0,24450.0,24452.0,-1
55,20260504  05:00:00,24452.0,24453.0,24445.0,24451.0,-1
56,20260504  05:03:00,24451.0,24455.0,24450.0,24454.0,-1
57,20260504  05:06:00,24454.0,24464.0,24452.0,24463.0,-1
58,20260504  05:09:00,24463.0,24470.0,24462.0,24466.0,-1
59,20260504  05:12:00,24466.0,24472.0,24464.0,24468.0,-1
60,20260504  05:15:00,24468.0,24468.0,24461.0,24464.0,-1
61,20260504  05:18:00,24464.0,24467.0,24462.0,24465.0,-1
62,20260504  05:21:00,24465.0,24466.0,24459.0,24463.0,-1
63,20260504  05:24:00,24463.0,24465.0,24461.0,24463.0,-1
64,20260504  05:27:00,24463.0,24464.0,24460.0,24461.0,-1
65,20260504  05:30:00,24461.0,24461.0,24447.0,24449.0,-1
66,20260504  05:33:00,24449.0,24450.0,24445.0,24446.0,-1
67,20260504  05:36:00,24446.0,24446.0,24440.0,24444.0,-1
68,20260504  05:39:00,24444.0,24444.0,24430.0,24433.0,-1
69,20260504  05:42:00,24433.0,24444.0,24432.0,24443.0,-1
70,20260504  05:45:00,24443.0,24454.0,24442.0,24450.0,-1
71,20260504  05:48:00,24450.0,24458.0,24449.0,24452.0,-1
72,20260504  05:51:00,24452.0,24455.0,24450.0,24451.0,-1
73,20260504  05:54:00,24451.0,24452.0,24445.0,24449.0,-1
74,20260504  05:57:00,24449.0,24452.0,24448.0,24452.0,-1
75,20260504  06:00:00,24452.0,24453.0,24443.0,24447.0,-1
76,20260504  06:03:00,24447.0,24455.0,24443.0,24453.0,-1
77,20260504  06:06:00,24453.0,24455.0,24452.0,24455.0,-1
78,20260504  06:09:00,24455.0,24457.0,24452.0,24456.0,-1
79,20260504  06:12:00,24456.0,24459.0,24453.0,24456.0,-1
80,20260504  06:15:00,24456.0,24456.0,24453.0,24456.0,-1
81,20260504  06:18:00,24456.0,24458.0,24453.0,24455.0,-1
82,20260504  06:21:00,24455.0,24456.0,24446.0,24447.0,-1
83,20260504  06:24:00,24447.0,24451.0,24443.0,24445.0,-1
84,20260504  06:27:00,24445.0,24449.0,24441.0,24443.0,-1
85,20260504  06:30:00,24443.0,24446.0,24438.0,24439.0,-1
86,20260504  06:33:00,24439.0,24444.0,24436.0,24439.0,-1
87,20260504  06:36:00,24439.0,24441.0,24430.0,24431.0,-1
88,20260504  06:39:00,24431.0,24435.0,24426.0,24433.0,-1
89,20260504  06:42:00,24433.0,24434.0,24429.0,24431.0,-1
90,20260504  06:45:00,24431.0,24436.0,24431.0,24434.0,-1
91,20260504  06:48:00,24434.0,24436.0,24431.0,24435.0,-1
92,20260504  06:51:00,24435.0,24444.0,24434.0,24441.0,-1
93,20260504  06:54:00,24441.0,24441.0,24434.0,24437.0,-1
94,20260504  06:57:00,24437.0,24441.0,24436.0,24439.0,-1
95,20260504  07:00:00,24439.0,24443.0,24436.0,24442.0,-1
96,20260504  07:03:00,24442.0,24446.0,24436.0,24445.0,-1
97,20260504  07:06:00,24445.0,24449.0,24443.0,24444.0,-1
98,20260504  07:09:00,24444.0,24449.0,24444.0,24448.0,-1
99,20260504  07:12:00,24448.0,24449.0,24446.0,24449.0,-1
100,20260504  07:15:00,24449.0,24459.0,24448.0,24456.0,-1
101,20260504  07:18:00,24456.0,24492.0,24455.0,24481.0,-1
102,20260504  07:21:00,24481.0,24486.0,24477.0,24479.0,-1
103,20260504  07:24:00,24479.0,24479.0,24459.0,24464.0,-1
104,20260504  07:27:00,24464.0,24464.0,24452.0,24453.0,-1
105,20260504  07:30:00,24453.0,24458.0,24450.0,24455.0,-1
106,20260504  07:33:00,24455.0,24459.0,24454.0,24458.0,-1
107,20260504  07:36:00,24458.0,24459.0,24453.0,24457.0,-1
108,20260504  07:39:00,24457.0,24470.0,24457.0,24470.0,-1
109,20260504  07:42:00,24470.0,24484.0,24469.0,24484.0,-1
110,20260504  07:45:00,24484.0,24490.0,24482.0,24485.0,-1
111,20260504  07:48:00,24485.0,24485.0,24464.0,24471.0,-1
112,20260504  07:51:00,24471.0,24471.0,24462.0,24463.0,-1
113,20260504  07:54:00,24463.0,24476.0,24462.0,24473.0,-1
114,20260504  07:57:00,24473.0,24482.0,24473.0,24481.0,-1
115,20260504  08:00:00,24481.0,24494.0,24473.0,24491.0,-1
116,20260504  08:03:00,24491.0,24491.0,24468.0,24475.0,-1
117,20260504  08:06:00,24475.0,24483.0,24471.0,24482.0,-1
118,20260504  08:09:00,24482.0,24485.0,24464.0,24470.0,-1
119,20260504  08:12:00,24470.0,24478.0,24467.0,24473.0,-1
120,20260504  08:15:00,24473.0,24476.0,24459.0,24461.0,-1
121,20260504  08:18:00,24461.0,24478.0,24459.0,24472.0,-1
122,20260504  08:21:00,24472.0,24483.0,24465.0,24475.0,-1
123,20260504  08:24:00,24475.0,24475.0,24450.0,24453.0,-1
124,20260504  08:27:00,24453.0,24467.0,24452.0,24464.0,-1
125,20260504  08:30:00,24464.0,24478.0,24462.0,24462.0,-1
126,20260504  08:33:00,24462.0,24463.0,24432.0,24439.0,-1
127,20260504  08:36:00,24439.0,24442.0,24421.0,24424.0,-1
128,20260504  08:39:00,24424.0,24426.0,24413.0,24418.0,-1
129,20260504  08:42:00,24418.0,24418.0,24397.0,24398.0,-1
130,20260504  08:45:00,24398.0,24399.0,24383.0,24387.0,-1
131,20260504  08:48:00,24387.0,24408.0,24384.0,24405.0,-1
132,20260504  08:51:00,24405.0,24408.0,24395.0,24406.0,-1
133,20260504  08:54:00,24406.0,24413.0,24403.0,24409.0,-1
134,20260504  08:57:00,24409.0,24418.0,24398.0,24414.0,-1
135,20260504  09:00:00,24414.0,24414.0,24359.0,24395.0,-1
136,20260504  09:03:00,24395.0,24430.0,24394.0,24426.0,-1
137,20260504  09:06:00,24426.0,24433.0,24416.0,24428.0,-1
138,20260504  09:09:00,24428.0,24433.0,24408.0,24418.0,-1
139,20260504  09:12:00,24418.0,24426.0,24404.0,24416.0,-1
140,20260504  09:15:00,24416.0,24431.0,24411.0,24425.0,-1
141,20260504  09:18:00,24425.0,24446.0,24419.0,24435.0,-1
142,20260504  09:21:00,24435.0,24474.0,24435.0,24474.0,-1
143,20260504  09:24:00,24474.0,24475.0,24454.0,24462.0,-1
144,20260504  09:27:00,24462.0,24472.0,24448.0,24457.0,-1
145,20260504  09:30:00,24457.0,24459.0,24428.0,24437.0,-1
146,20260504  09:33:00,24437.0,24459.0,24434.0,24454.0,-1
147,20260504  09:36:00,24454.0,24478.0,24454.0,24478.0,-1
148,20260504  09:39:00,24478.0,24494.0,24474.0,24486.0,-1
149,20260504  09:42:00,24486.0,24492.0,24468.0,24492.0,-1
150,20260504  09:45:00,24492.0,24507.0,24489.0,24492.0,-1
151,20260504  09:48:00,24492.0,24499.0,24483.0,24493.0,-1
152,20260504  09:51:00,24493.0,24503.0,24475.0,24476.0,-1
153,20260504  09:54:00,24476.0,24476.0,24455.0,24462.0,-1
154,20260504  09:57:00,24462.0,24465.0,24441.0,24445.0,-1
155,20260504  10:00:00,24445.0,24452.0,24423.0,24434.0,-1
156,20260504  10:03:00,24434.0,24441.0,24404.0,24413.0,-1
157,20260504  10:06:00,24413.0,24417.0,24391.0,24394.0,-1
158,20260504  10:09:00,24394.0,24413.0,24389.0,24405.0,-1
159,20260504  10:12:00,24405.0,24409.0,24390.0,24407.0,-1
160,20260504  10:15:00,24407.0,24414.0,24393.0,24394.0,-1
161,20260504  10:18:00,24394.0,24408.0,24388.0,24407.0,-1
162,20260504  10:21:00,24407.0,24414.0,24396.0,24398.0,-1
163,20260504  10:24:00,24398.0,24424.0,24397.0,24421.0,-1
164,20260504  10:27:00,24421.0,24438.0,24413.0,24430.0,-1
165,20260504  10:30:00,24430.0,24444.0,24429.0,24442.0,-1
166,20260504  10:33:00,24442.0,24442.0,24423.0,24430.0,-1
167,20260504  10:36:00,24430.0,24435.0,24419.0,24420.0,-1
168,20260504  10:39:00,24420.0,24427.0,24415.0,24422.0,-1
169,20260504  10:42:00,24422.0,24426.0,24409.0,24412.0,-1
170,20260504  10:45:00,24412.0,24416.0,24395.0,24396.0,-1
171,20260504  10:48:00,24396.0,24407.0,24386.0,24405.0,-1
172,20260504  10:51:00,24405.0,24409.0,24393.0,24406.0,-1
173,20260504  10:54:00,24406.0,24411.0,24389.0,24393.0,-1
174,20260504  10:57:00,24393.0,24403.0,24390.0,24396.0,-1
175,20260504  11:00:00,24396.0,24424.0,24390.0,24419.0,-1
176,20260504  11:03:00,24419.0,24427.0,24417.0,24424.0,-1
177,20260504  11:06:00,24424.0,24424.0,24406.0,24413.0,-1
178,20260504  11:09:00,24413.0,24432.0,24410.0,24431.0,-1
179,20260504  11:12:00,24431.0,24443.0,24426.0,24438.0,-1
180,20260504  11:15:00,24438.0,24448.0,24431.0,24447.0,-1
181,20260504  11:18:00,24447.0,24462.0,24441.0,24462.0,-1
182,20260504  11:21:00,24462.0,24463.0,24438.0,24443.0,-1
183,20260504  11:24:00,24443.0,24452.0,24438.0,24443.0,-1
184,20260504  11:27:00,24443.0,24457.0,24439.0,24456.0,-1
185,20260504  11:30:00,24456.0,24463.0,24454.0,24456.0,-1
186,20260504  11:33:00,24456.0,24473.0,24451.0,24472.0,-1
187,20260504  11:36:00,24472.0,24487.0,24465.0,24487.0,-1
188,20260504  11:39:00,24487.0,24491.0,24473.0,24476.0,-1
189,20260504  11:42:00,24476.0,24485.0,24474.0,24477.0,-1
190,20260504  11:45:00,24477.0,24480.0,24462.0,24472.0,-1
191,20260504  11:48:00,24472.0,24493.0,24472.0,24492.0,-1
192,20260504  11:51:00,24492.0,24499.0,24486.0,24499.0,-1
193,20260504  11:54:00,24499.0,24502.0,24487.0,24488.0,-1
194,20260504  11:57:00,24488.0,24492.0,24474.0,24475.0,-1
195,20260504  12:00:00,24475.0,24496.0,24429.0,24443.0,-1
196,20260504  12:03:00,24443.0,24444.0,24240.0,24253.0,-1
197,20260504  12:06:00,24253.0,24254.0,24169.0,24189.0,-1
198,20260504  12:09:00,24189.0,24224.0,24175.0,24189.0,-1
199,20260504  12:12:00,24189.0,24201.0,24161.0,24201.0,-1
200,20260504  12:15:00,24201.0,24213.0,24167.0,24209.0,-1
201,20260504  12:18:00,24209.0,24241.0,24177.0,24210.0,-1
202,20260504  12:21:00,24210.0,24241.0,24192.0,24241.0,-1
203,20260504  12:24:00,24241.0,24302.0,24235.0,24295.0,-1
204,20260504  12:27:00,24295.0,24306.0,24282.0,24297.0,-1
205,20260504  12:30:00,24297.0,24432.0,24268.0,24354.0,-1
206,20260504  12:33:00,24354.0,24403.0,24353.0,24391.0,-1
207,20260504  12:36:00,24391.0,24404.0,24358.0,24367.0,-1
208,20260504  12:39:00,24367.0,24401.0,24364.0,24385.0,-1
209,20260504  12:42:00,24385.0,24400.0,24369.0,24382.0,-1
210,20260504  12:45:00,24382.0,24405.0,24376.0,24391.0,-1
211,20260504  12:48:00,24391.0,24416.0,24387.0,24401.0,-1
212,20260504  12:51:00,24401.0,24412.0,24387.0,24391.0,-1
213,20260504  12:54:00,24391.0,24393.0,24373.0,24374.0,-1
214,20260504  12:57:00,24374.0,24381.0,24367.0,24369.0,-1
215,20260504  13:00:00,24369.0,24411.0,24369.0,24387.0,-1
216,20260504  13:03:00,24387.0,24387.0,24348.0,24350.0,-1
217,20260504  13:06:00,24350.0,24359.0,24341.0,24345.0,-1
218,20260504  13:09:00,24345.0,24381.0,24342.0,24367.0,-1
219,20260504  13:12:00,24367.0,24387.0,24358.0,24368.0,-1
220,20260504  13:15:00,24368.0,24398.0,24367.0,24390.0,-1
221,20260504  13:18:00,24390.0,24409.0,24388.0,24396.0,-1
222,20260504  13:21:00,24396.0,24397.0,24375.0,24387.0,-1
223,20260504  13:24:00,24387.0,24392.0,24373.0,24374.0,-1
224,20260504  13:27:00,24374.0,24381.0,24363.0,24364.0,-1
225,20260504  13:30:00,24364.0,24366.0,24348.0,24363.0,-1
226,20260504  13:33:00,24363.0,24365.0,24343.0,24348.0,-1
227,20260504  13:36:00,24348.0,24370.0,24343.0,24363.0,-1
228,20260504  13:39:00,24363.0,24364.0,24298.0,24343.0,-1
229,20260504  13:42:00,24343.0,24360.0,24341.0,24348.0,-1
230,20260504  13:45:00,24348.0,24352.0,24324.0,24335.0,-1
231,20260504  13:48:00,24335.0,24353.0,24330.0,24352.0,-1
232,20260504  13:51:00,24352.0,24363.0,24342.0,24361.0,-1
233,20260504  13:54:00,24361.0,24374.0,24357.0,24369.0,-1
234,20260504  13:57:00,24369.0,24376.0,24355.0,24357.0,-1
235,20260504  14:00:00,24357.0,24376.0,24354.0,24366.0,-1
236,20260504  14:03:00,24366.0,24369.0,24348.0,24362.0,-1
237,20260504  14:06:00,24362.0,24371.0,24358.0,24365.0,-1
238,20260504  14:09:00,24365.0,24374.0,24355.0,24371.0,-1
239,20260504  14:12:00,24371.0,24376.0,24357.0,24362.0,-1
240,20260504  14:15:00,24362.0,24394.0,24345.0,24375.0,-1
241,20260504  14:18:00,24375.0,24404.0,24374.0,24395.0,-1
242,20260504  14:21:00,24395.0,24412.0,24377.0,24380.0,-1
243,20260504  14:24:00,24380.0,24399.0,24378.0,24381.0,-1
244,20260504  14:27:00,24381.0,24394.0,24376.0,24376.0,-1
245,20260504  14:30:00,24376.0,24376.0,24352.0,24353.0,-1
246,20260504  14:33:00,24353.0,24357.0,24343.0,24345.0,-1
247,20260504  14:36:00,24345.0,24381.0,24333.0,24370.0,-1
248,20260504  14:39:00,24370.0,24392.0,24364.0,24381.0,-1
249,20260504  14:42:00,24381.0,24391.0,24367.0,24378.0,-1
250,20260504  14:45:00,24378.0,24379.0,24354.0,24359.0,-1
251,20260504  14:48:00,24359.0,24376.0,24358.0,24373.0,-1
252,20260504  14:51:00,24373.0,24378.0,24364.0,24367.0,-1
253,20260504  14:54:00,24367.0,24378.0,24359.0,24370.0,-1
254,20260504  14:57:00,24370.0,24382.0,24336.0,24346.0,-1
255,20260504  15:00:00,24346.0,24347.0,24254.0,24295.0,-1
256,20260504  15:03:00,24295.0,24327.0,24262.0,24315.0,-1
257,20260504  15:06:00,24315.0,24337.0,24314.0,24332.0,-1
258,20260504  15:09:00,24332.0,24368.0,24312.0,24328.0,-1
259,20260504  15:12:00,24328.0,24330.0,24308.0,24316.0,-1
260,20260504  15:15:00,24316.0,24325.0,24302.0,24318.0,-1
261,20260504  15:18:00,24318.0,24320.0,24303.0,24309.0,-1
262,20260504  15:21:00,24309.0,24310.0,24289.0,24296.0,-1
263,20260504  15:24:00,24296.0,24306.0,24281.0,24286.0,-1
264,20260504  15:27:00,24286.0,24302.0,24284.0,24294.0,-1
265,20260504  15:30:00,24294.0,24308.0,24271.0,24307.0,-1
266,20260504  15:33:00,24307.0,24330.0,24299.0,24325.0,-1
267,20260504  15:36:00,24325.0,24343.0,24310.0,24319.0,-1
268,20260504  15:39:00,24319.0,24334.0,24306.0,24308.0,-1
269,20260504  15:42:00,24308.0,24324.0,24299.0,24303.0,-1
270,20260504  15:45:00,24303.0,24307.0,24284.0,24293.0,-1
271,20260504  15:48:00,24293.0,24307.0,24280.0,24288.0,-1
272,20260504  15:51:00,24288.0,24302.0,24275.0,24294.0,-1
273,20260504  15:54:00,24294.0,24300.0,24286.0,24293.0,-1
274,20260504  15:57:00,24293.0,24306.0,24281.0,24289.0,-1
275,20260504  16:00:00,24289.0,24289.0,24256.0,24260.0,-1
276,20260504  16:03:00,24260.0,24270.0,24251.0,24254.0,-1
277,20260504  16:06:00,24254.0,24256.0,24215.0,24234.0,-1
278,20260504  16:09:00,24234.0,24257.0,24213.0,24257.0,-1
279,20260504  16:12:00,24257.0,24288.0,24254.0,24259.0,-1
280,20260504  16:15:00,24259.0,24291.0,24254.0,24286.0,-1
281,20260504  16:18:00,24286.0,24321.0,24279.0,24313.0,-1
282,20260504  16:21:00,24313.0,24319.0,24297.0,24299.0,-1
283,20260504  16:24:00,24299.0,24299.0,24277.0,24289.0,-1
284,20260504  16:27:00,24289.0,24290.0,24269.0,24277.0,-1
285,20260504  16:30:00,24277.0,24298.0,24270.0,24287.0,-1
286,20260504  16:33:00,24287.0,24293.0,24276.0,24288.0,-1
287,20260504  16:36:00,24288.0,24296.0,24271.0,24295.0,-1
288,20260504  16:39:00,24295.0,24304.0,24281.0,24291.0,-1
289,20260504  16:42:00,24291.0,24298.0,24279.0,24283.0,-1
290,20260504  16:45:00,24283.0,24304.0,24278.0,24303.0,-1
291,20260504  16:48:00,24303.0,24303.0,24279.0,24282.0,-1
292,20260504  16:51:00,24282.0,24297.0,24277.0,24283.0,-1
293,20260504  16:54:00,24283.0,24283.0,24233.0,24248.0,-1
294,20260504  16:57:00,24248.0,24248.0,24209.0,24215.0,-1
295,20260504  17:00:00,24215.0,24242.0,24183.0,24237.0,-1
296,20260504  17:03:00,24237.0,24243.0,24223.0,24241.0,-1
297,20260504  17:06:00,24241.0,24241.0,24213.0,24223.0,-1
298,20260504  17:09:00,24223.0,24247.0,24218.0,24238.0,-1
299,20260504  17:12:00,24238.0,24244.0,24215.0,24235.0,-1
300,20260504  17:15:00,24235.0,24257.0,24224.0,24229.0,-1
301,20260504  17:18:00,24229.0,24229.0,24129.0,24148.0,-1
302,20260504  17:21:00,24148.0,24150.0,24064.0,24103.0,-1
303,20260504  17:24:00,24103.0,24121.0,24083.0,24113.0,-1
304,20260504  17:27:00,24113.0,24136.0,24109.0,24131.0,-1
305,20260504  17:30:00,24131.0,24134.0,24067.0,24076.0,-1
306,20260504  17:33:00,24076.0,24117.0,24074.0,24078.0,-1
307,20260504  17:36:00,24078.0,24107.0,24051.0,24081.0,-1
308,20260504  17:39:00,24081.0,24093.0,24059.0,24090.0,-1
309,20260504  17:42:00,24090.0,24100.0,24077.0,24093.0,-1
310,20260504  17:45:00,24093.0,24098.0,24064.0,24071.0,-1
311,20260504  17:48:00,24071.0,24081.0,24044.0,24050.0,-1
312,20260504  17:51:00,24050.0,24075.0,24019.0,24055.0,-1
313,20260504  17:54:00,24055.0,24078.0,24055.0,24070.0,-1
314,20260504  17:57:00,24070.0,24083.0,24053.0,24055.0,-1
315,20260504  18:00:00,24055.0,24067.0,24026.0,24046.0,-1
316,20260504  18:03:00,24046.0,24055.0,24032.0,24047.0,-1
317,20260504  18:06:00,24047.0,24056.0,23939.0,23975.0,-1
318,20260504  18:09:00,23975.0,23990.0,23947.0,23989.0,-1
319,20260504  18:12:00,23989.0,23994.0,23970.0,23979.0,-1
